preschool,address,city,state,zip,provider_type,license_number,license_status_in_cdss_2025_export,licensed_capacity,phone,license_first_date,elfa_network_member,preschool_screening_rating,rating_basis,rating_limitations,address_source,cdss_facility_detail_url,cdss_dataset_url,elfa_directory_url,cdss_export_data_date,elfa_directory_access_date,latitude,longitude,geocode_matched_address,geocode_match_method,geocode_source,geocode_data_as_of
"Children'S Day School, Inc.",333 Dolores Street,San Francisco,CA,94110,DAY CARE CENTER,384000199,LICENSED,72,(415) 861-5432,10/9/1996,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384000199,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7642545,-122.4252,333 DOLORES ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Chinese American International School,3250 19Th Avenue,San Francisco,CA,94132,SINGLE LICENSED CHILD CARE CENTER,384004878,LICENSED,120,(415) 865-6088,8/30/2024,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384004878,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7295001,-122.473589,3250 19TH AVE,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
"Cielito Lindo Montessori School, LLC",101 Gold Mine Drive,San Francisco,CA,94131,DAY CARE CENTER,384002957,LICENSED,24,(415) 757-0009,10/26/2017,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384002957,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7431883,-122.4378,101 GOLD MINE DR,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
City Sprouts Preschool,1466 38Th Ave,San Francisco,CA,94122,DAY CARE CENTER,384003095,LICENSED,26,(415) 971-1394,11/21/2019,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384003095,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7595773,-122.4969553,1466 38TH AVE,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Color Me French Preschool LLC,125 Clement Street,San Francisco,CA,94118,DAY CARE CENTER,384002992,LICENSED,19,(415) 724-3646,12/15/2017,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384002992,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7828771,-122.4605691,125 CLEMENT ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Cornerstone Academy,1925 Lawton Street,San Francisco,CA,94122,DAY CARE CENTER,380501237,LICENSED,44,(415) 665-9747,1/9/1976,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380501237,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7574179,-122.4836625,1925 LAWTON ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Cornerstone Academy,1943 Lawton Street,San Francisco,CA,94122,DAY CARE CENTER,380503897,LICENSED,60,(415) 665-9747,3/16/1982,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380503897,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7574725,-122.4839828,1943 LAWTON ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Cornerstone Academy,801 Silver Avenue,San Francisco,CA,94134,DAY CARE CENTER,380505466,LICENSED,378,(415) 587-7256,10/12/1989,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380505466,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7294421,-122.4183521,801 SILVER AVE,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Creative Gardens,1429 Valencia Street,San Francisco,CA,94110,DAY CARE CENTER,384004110,LICENSED,56,(415) 577-8389,11/6/2019,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384004110,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7498913,-122.4201007,1429 VALENCIA ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Creative Montessori Preschool,3101 Vicente Street,San Francisco,CA,94116,DAY CARE CENTER,384004021,LICENSED,52,(415) 661-2828,4/9/2019,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384004021,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7380332,-122.5002274,3101 VICENTE ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Cypress School Of San Francisco,387 Moraga Avenue,San Francisco,CA,94129,DAY CARE CENTER,384004684,LICENSED,150,(415) 921-2328,5/8/2023,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384004684,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7976742,-122.4610185,387 MORAGA AVE,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Donum Dei Nest Preschool,1550 Treat Avenue,San Francisco,CA,94110,DAY CARE CENTER,384004802,LICENSED,12,(415) 874-9631,8/12/2024,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384004802,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7459309,-122.4126946,1550 TREAT AVE,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Explorer Mandarin Immersion,1457 9Th Avenue,San Francisco,CA,94122,DAY CARE CENTER,384004460,LICENSED,38,(415) 425-3248,12/17/2021,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384004460,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7611266,-122.4664374,1457 09TH AVE,DataSF normalized street match,DataSF Enterprise Addressing System,2026-09-21
Frandelja Fairfax,901 B Fairfax Avenue,San Francisco,CA,94124,DAY CARE CENTER,384002982,LICENSED,56,(415) 822-1699,12/14/2017,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384002982,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7352218,-122.3806594,901 A FAIRFAX AVE,DataSF normalized street match,DataSF Enterprise Addressing System,2026-09-21
Friends Of Potrero Hill Nursery School,1060-A Tennessee Street,San Francisco,CA,94107,DAY CARE CENTER,384002303,LICENSED,30,(415) 864-5464,8/30/2012,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384002303,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7584029,-122.3895554,1060 A TENNESSEE ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Gan Noe Preschool,3781 Cesar Chavez Street,San Francisco,CA,94110,DAY CARE CENTER,384002445,LICENSED,30,(415) 648-8000,9/3/2014,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384002445,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7476643,-122.4242018,3781 CESAR CHAVEZ ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
"Garden School, The",4037 24Th Street,San Francisco,CA,94114,DAY CARE CENTER,384004582,LICENSED,24,(415) 619-2293,10/11/2022,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384004582,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7511312,-122.432718,4037 24TH ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Gates And Bridges Preschool,1601 10Th Avenue,San Francisco,CA,94122,DAY CARE CENTER,380504276,LICENSED,16,(415) 664-3005,6/22/1984,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380504276,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7582539,-122.4671471,1601 10TH AVE,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
German International School Of Silicon Valley,117 Diamond Street,San Francisco,CA,94114,DAY CARE CENTER,384004290,LICENSED,64,(650) 254-0748,12/11/2020,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384004290,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7601243,-122.4367987,117 DIAMOND ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Glen Park Montessori,647 Chenery Street,San Francisco,CA,94131,DAY CARE CENTER,384000740,LICENSED,36,(415) 585-7701,1/5/2000,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384000740,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7344177,-122.4329347,647 CHENERY ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Glenridge Cooperative Nursery School,Glen Park Canyon (Chenery-Elk),San Francisco,CA,94131,DAY CARE CENTER,380500240,LICENSED,25,(415) 586-2771,11/29/1974,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380500240,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7361896,-122.4400311,70 ELK ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Growing Stem Academy,610 20Th Street,San Francisco,CA,94107,SINGLE LICENSED CHILD CARE CENTER,384004940,LICENSED,45,(415) 995-1775,4/2/2025,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384004940,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7606612,-122.387961,610 20TH ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Haight Ashbury Cooperative Nursery School,1180 Stanyan Street,San Francisco,CA,94117,DAY CARE CENTER,380500254,LICENSED,24,(415) 661-9204,3/4/1978,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380500254,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7624517,-122.4518894,1180 STANYAN ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Happy Day Preschool,809 Taraval Street,San Francisco,CA,94116,DAY CARE CENTER,384001687,LICENSED,30,(415) 564-7999,5/15/2007,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384001687,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7428373,-122.4748915,809 TARAVAL ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Helen Hawk Children'S Ctr-Compass Fam Srvs,111 Page Street,San Francisco,CA,94102,SINGLE LICENSED CHILD CARE CENTER,384004853,LICENSED,8,(415) 644-0504,8/13/2024,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384004853,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7737417,-122.4230438,111 PAGE ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Help U Grow (Hug),3830 Noriega Street,San Francisco,CA,94122,DAY CARE CENTER,384003072,LICENSED,39,(415) 664-4500,5/31/2019,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384003072,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7532446,-122.5048874,3830 NORIEGA ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Holy Name Preschool,1560 40Th Avenue,San Francisco,CA,94122,DAY CARE CENTER,384002235,LICENSED,75,(415) 664-4753,12/28/2011,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384002235,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7576104,-122.4988763,1560 40TH AVE,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Hungry Caterpillars Early Education Center,3219A Laguna Street,San Francisco,CA,94123,SINGLE LICENSED CHILD CARE CENTER,384004930,LICENSED,21,(415) 710-2019,5/5/2025,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384004930,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.800772,-122.4314889,3219 LAGUNA ST,DataSF base address,DataSF Enterprise Addressing System,2026-09-21
"International School Of San Francisco, The",1155 Page Street,San Francisco,CA,94117,DAY CARE CENTER,384002504,LICENSED,170,(415) 231-5733,8/27/2014,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384002504,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7717589,-122.4397362,1155 PAGE ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Jccsf Brotherhood Way Preschool,655 Brotherhood Way,San Francisco,CA,94132,DAY CARE CENTER,380500086,LICENSED,116,(415) 333-4289,4/16/1975,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380500086,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7133993,-122.4751934,655 BROTHERHOOD WAY,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Jccsf Helen Diller Family Preschool,3200 California Street,San Francisco,CA,94118,DAY CARE CENTER,384001263,LICENSED,175,(415) 292-1291,1/8/2004,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384001263,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7873232,-122.4473885,3200 CALIFORNIA ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Jccsf Loise& Claude Rosenberg Early Childhood Ctr,325 Arguello Blvd.,San Francisco,CA,94118,DAY CARE CENTER,380504700,LICENSED,59,(415) 386-4999,1/7/1985,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380504700,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7845897,-122.4594915,325 ARGUELLO BLVD,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Katherine Michiels School (Pre-K),1335 Guerrero,San Francisco,CA,94110,DAY CARE CENTER,380504523,LICENSED,36,(415) 821-0130,5/11/1984,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380504523,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7498177,-122.4223102,1335 GUERRERO ST,DataSF normalized street match,DataSF Enterprise Addressing System,2026-09-21
Kids Kollege Preschool Day Care,3939 Lawton Street,San Francisco,CA,94122,DAY CARE CENTER,380505246,LICENSED,60,(415) 753-1869,5/10/1989,No,B - Licensed; no ELFA designation found,Shown as LICENSED in the CDSS child care center export dated 2025-05-25; no matching preschool license was found in the current SF DEC ELFA directory. ELFA participation is not universal.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",CDSS export,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380505246,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7564618,-122.5052421,3939 LAWTON ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
